familyName,givenName,additionalName,honorificPrefix,birthDate
Nicholls,Glenn,,,
Mertgen,Brendan,,,1969-06-14
Lumbly,Etan,,,1944-03-19
Bussetti,Teodoor,,Honorable,
Choake,Bran,,,
Meys,Hill,,,
Crosthwaite,Gerard,,,1961-02-12
MacClancey,Forester,,,2000-11-19
Menghi,Floyd,,,
Hassur,Randy,Bat,,
Iacabucci,Ade,,,1985-03-28
Davis,Garth,,Mr,1944-05-14
Cattermoul,Emmit,,,1965-10-11
Aery,Lonnie,,,
Ingold,Marion,,,1947-06-29
Feathers,Thadeus,,,1956-07-29
Figin,Bar,,,1973-04-13
Plaunch,Hunt,,,1952-07-09
Cleveland,Inger,Isidore,,
Wormstone,Noll,Ramsay,,1963-04-08
Swayton,Grantley,Gilburt,,1993-06-26
Doret,Chev,,,1958-09-02
Wittering,Alyosha,,,1971-09-18
Prydden,Frederigo,,,1972-07-03
Jockle,Kristofer,,,1985-01-04
Trubshaw,Lorenzo,,,
Soigne,Dannel,,,1950-08-11
Pilipyak,Lin,,,1954-10-20
Roalfe,Werner,,,1933-03-07
Roux,Curran,,,
Poile,Archambault,,,
Jacob,Roderic,,,
Kinnen,Amby,,,1965-09-28
Colbrun,Gilberto,Lucian,,1985-04-28
Harbisher,Laughton,Lonnie,,1984-07-05
Andryunin,Jude,,Honorable,1942-07-31
Lisimore,Marty,,Ms,1946-04-04
Brimelow,Kerr,Cordie,,1936-01-04
Odlin,Horten,Clayborne,,
Earry,Abraham,,,1975-08-05
Brandon,Thor,,,1953-03-13
Monday,Dewitt,,,1999-06-15
Nabarro,Tadeo,Byrle,,1953-08-08
Dunbobbin,Barnabe,,,
Tewkesberrie,Spence,,,
Knolles-Green,Lou,,,1934-11-06
Leuchars,Sean,,,
Hursey,Darn,,Honorable,1987-08-25
Lineham,Laurence,,,1958-07-30
Virgoe,Arley,,,2001-08-25
Kyngdon,Chan,,,
Jahnke,Forbes,Wally,,1944-11-14
Brigge,Mendy,Buddie,,
Dadds,Cale,Desi,Mrs,1954-12-29
Eick,Etienne,,,2002-12-05
Viccars,Dana,Friedrick,Mrs,
Doumerque,Rayner,Sollie,,
Fagence,Ty,,,1938-01-31
Choules,Dewey,Odo,,2003-06-11
Winchurst,Durand,,,1984-07-24
Neat,Ev,,,
Corrington,Tyson,,,1997-06-10
Clubley,Grove,,,1983-01-18
Jorry,Leopold,Ax,,1978-09-09
Le Brum,Leland,Briant,,1970-03-16
Roussell,Guthry,,,1955-06-30
Philcott,Kent,,,1986-09-12
McAllaster,Vachel,,Mrs,1986-04-14
Philippsohn,Ferdinand,,,1957-06-29
MacTrusty,Stanleigh,,,
Mc Gee,Washington,,,1935-07-25
Saer,Karlens,,Rev,1948-12-29
Marmyon,Pascale,Aldous,,
Eads,Baryram,,,
Korpal,Vincenty,Zacherie,,1964-01-16
Pendock,Norbert,,Mrs,1943-05-30
Kelberman,Samson,,,2001-01-21
Barosch,Heath,,,1992-06-23
Bridge,Robb,,,
Knight,Brannon,,,1979-12-24
Chyuerton,Hakim,Frederico,,1937-06-29
Calleja,Arne,,Dr,2000-01-23
Grumble,Cliff,,,
Cargill,Saul,,,1976-07-10
Meehan,Gherardo,,,1950-07-28
Hackin,Moore,Nathan,,1988-04-23
Tabourin,Ring,Gregoire,,1955-02-22
Ivanikov,Merrick,,,1975-01-15
Cufflin,Abel,Kurtis,,1986-10-23
Reavell,Rutledge,,,1991-06-06
Lamyman,Rayner,,Honorable,1962-03-13
Pill,Isaak,,Dr,1974-09-27
Ewen,Harvey,,,
Munt,Desmund,,,1991-12-12
Benes,Roosevelt,,,
Tearney,Linoel,Brandtr,Mr,1956-01-19
Connolly,Steffen,Clark,,1963-10-31
Redd,Leif,,,1997-05-28
Korfmann,Felike,,,
Kitto,Kendell,,,2002-02-16
Heath,Davis,,,
Bealing,Glendon,Rudd,,
Evitts,Sunny,,,
Escale,Rob,Hernando,,1968-08-18
Snelgrove,Wildon,Christy,,
Gerraty,Penn,,,
Cowling,Waldon,,,1930-11-22
Basek,Caspar,Alden,,1996-09-04
O'Lennachain,Owen,,,1931-04-10
Velde,Cassius,,,1988-02-04
Denning,Kain,Stanley,,1931-04-09
Searchwell,Walsh,,,1953-03-11
Godlonton,Abbie,Reginauld,,1977-10-27
Fusco,Morie,,,
Nowland,Gradeigh,,,1954-02-17
Dreghorn,Hadlee,Jacky,,1955-10-14
Vigrass,Ogdan,,,
Razoux,Jervis,,Rev,1961-04-03
Tordoff,Morry,,,
Grelik,Issiah,Nikos,,1956-05-15
Schurcke,Boyd,Gradey,,1934-09-04
Toulch,Marion,,,1981-12-17
Lampen,Cornelius,,,
Pattingson,Haley,,,
Kavanagh,Geordie,Luis,,
Faulkener,Krispin,Puff,,1985-12-05
Sheriff,Merrel,,,1950-08-18
Swain,Klement,,,
Danjoie,Albie,,,1994-09-21
Crowdson,Byrom,Arte,,
Firminger,Pippo,Marcus,,1989-03-27
Maude,Michail,,Honorable,1938-04-22
Avramchik,Quentin,,,1993-01-12
Thorneloe,Ely,Richie,,1999-08-29
Badsey,Alfred,Chaddy,,1985-02-22
Parrot,Inger,,,1938-06-07
Maria,Gaylor,Karlis,,1978-03-03
Gouch,Nealy,Reynard,,1998-09-15
Grigor,Goddart,,,1991-03-06
Roubert,Alfonso,,,
Goodwyn,Gardner,,,1993-12-03
Laye,Zack,,,1981-07-23
Defraine,Kahlil,Dew,,
Scarffe,Elvin,Broderick,Mrs,1996-08-19
Fidelli,Davide,,,1984-06-18
Smewin,Wernher,,,1954-08-28
Wathen,Ingelbert,,,1983-12-03
Ikin,Town,,,
Irwin,Quintus,,,
Seedman,Alvy,,,1936-07-18
Laybourn,Stanwood,,,1970-06-24
Baldini,Gregorius,,Mrs,
Bellringer,Torry,,,1968-09-22
Izkovicz,Adan,Richmond,,2001-12-13
McCambrois,Renato,,,1969-05-30
Siggee,Godard,,,
Bonifazio,Brockie,Nial,,1964-06-09
Copozio,Travers,Pieter,,
Trattles,Barty,,,
Antonias,Hewie,Gabe,,1980-02-16
Janca,Lonnard,,,
Dudliston,Richmound,,,1987-07-25
Harses,Silvio,Adlai,,1938-08-14
Harlowe,Hamnet,Ford,,
Morehall,Raimondo,,,
Emby,Nikola,,,
Kezourec,Conrado,,,1961-08-17
Dominetti,Conway,,,1943-05-05
McLauchlin,Tailor,Lancelot,,1943-03-24
Dossit,Abe,Walden,,1957-08-24
Dautry,Mycah,Jasper,,1996-08-07
Averill,Ailbert,Bartholomeo,,1946-04-25
Dunlop,Damiano,,,1941-05-29
Hatzar,Palm,,,1945-06-28
Trayhorn,Adham,,,2002-12-03
Tander,Marwin,,,1946-12-17
Toplin,Elvis,Myrwyn,,1940-03-29
Bittleson,Tammie,,,
Simm,Kennett,,,1998-11-19
Timmis,Gerek,,,2002-07-15
Cicculi,Tadd,,,1994-11-11
Rummins,Falito,Curran,,1987-11-18
Pusill,Garrott,,,1969-10-07
Esslement,Stanislaus,Luce,Honorable,
Wass,Quinton,Merwin,,1983-02-20
Korejs,Hoyt,,,
Stinton,Wilek,,,1940-12-15
Alcalde,Andrej,Franny,,1985-09-08
Thomasson,Harald,,,1935-02-10
Maria,Giulio,,,1994-02-25
Hanaby,Bennett,,,1980-04-06
Couvet,Ado,Garrick,,1991-08-02
Godson,Murvyn,Nat,,2001-05-17
Zorn,Zacharias,,,1984-03-30
Whild,Isador,,,1958-06-26
Bailiss,Kurt,,,1974-09-21
Scard,Flory,,,
Bawme,Purcell,,,1949-04-08
Mulvey,Raymund,,,
Iwanicki,Nial,,,
Moorton,Llewellyn,,,
Delmonti,Pattie,,,1966-06-14
Wines,Ruprecht,,,1953-06-29
Muris,Zolly,Cletis,,1955-03-03
Bolsteridge,Sebastien,,,1967-01-28
Jeandon,Eduard,,,
Snelling,Scotti,,,1984-12-23
Bertome,Gardiner,Clint,,1963-09-14
Vannet,Ogdon,,Rev,1958-12-29
Heggie,Jonathon,,,
De Hoogh,Galvan,Kerby,,
Snoday,Jermain,Yves,,
Tebbutt,Ulberto,,,1955-10-04
Senchenko,Ethan,,Ms,
Gallelli,Seward,,,
Palphreyman,Quintin,,,1962-04-06
Mapston,Dionisio,,Honorable,1950-03-03
Laybourn,Randolf,Orlando,,1953-06-24
Gerrad,Trip,Giuseppe,,
Brackpool,Moss,Brannon,,1979-12-21
Harte,Florian,,,
Orpwood,Perice,Giacobo,,1985-09-23
Dance,Barrie,,,
Gronous,Shelley,,,1953-09-01
Wigfield,Gideon,,Ms,1986-04-09
Dryburgh,Yorgos,,,
Hearthfield,Panchito,Barr,,1944-09-03
Danbye,Garald,,,1979-09-25
Bacher,Mervin,Mikey,Mrs,1944-03-10
Gidney,Hanson,Kris,,1955-04-21
Stepto,Remington,Meredith,,
Inott,Jeffie,Dillon,,
Swaisland,Ethe,,,
Pfaffel,Reynolds,Sidnee,,1958-04-28
MacColgan,Alick,,,1933-06-01
Izac,Chev,Ashby,,1945-04-16
Halleybone,Vaclav,Bondon,,
Blaiklock,Taite,,,1961-08-27
Vasyuchov,Nicolai,,,
Goude,Ian,,,2000-11-17
Luckett,Moore,,,1932-11-27
Flaune,Carlo,,,
Watchorn,Willdon,,,1944-03-01
Poag,Garry,,,
Pearsey,Keane,,,
Rodolf,Lannie,,,1949-06-12
Hugonet,Berne,,,1970-02-03
Mulhall,Brade,,,1989-09-13
Dametti,Curtice,,,
Hertwell,Benn,Arman,,1974-01-06
Bagley,Niki,,,1930-03-24
Briat,Auberon,,,2002-11-11
Birkmyr,Conrad,,,1988-04-06
Baake,Allen,Bond,,
Greenlees,Artus,,,1942-11-21
Baxandall,Joshua,,Ms,1957-06-27
Ventom,Correy,,,1990-09-14
Berrecloth,Siffre,,,
Loverock,Isac,,,
Rouse,Osborn,,,1972-08-30
Barkworth,Harlan,,,
Cosgrove,Monti,,,1993-01-19
Lennarde,Willdon,,,
McKeran,Avrom,,,1969-02-23
Lyte,Terrel,,,1972-04-13
Woolfitt,Derek,,Mr,
ducarme,Ulises,,,
Iskov,Demott,,,
Pepall,Micah,Brig,,1933-11-07
Jozwicki,Hew,,Rev,
Fuller,Earlie,,Mrs,
Stocker,Odey,,,1965-07-17
Beranek,Mack,,,1954-01-18
Peterkin,Torey,,,
Plait,Kennan,Ignace,Ms,1968-06-26
Kehir,Andrey,,,1960-12-02
Busch,Rodger,Rodrick,,1987-03-06
Fossey,Gene,,,1962-12-27
Blacklock,Aland,,,1952-04-15
Toby,Chase,,,2002-03-20
Baden,Louie,Mal,Honorable,
Pentelo,Laurence,Teodor,,
Crampin,My,,,1975-02-07
Stewart,Christiano,,Honorable,2000-11-21
Laterza,Bartie,,,1943-06-22
Matyasik,Somerset,,,1983-08-26
Caberas,Percival,,,
Wakelin,Rufus,,,
Berks,Falkner,,Honorable,
Keightley,Franchot,,Mr,1970-10-03
Heine,Hobard,,,
Axston,Hyatt,,,1979-01-28
Crammy,Sayre,,,1977-03-06
Aleksidze,Rodney,,,
Joincey,Guss,,,
Wilcher,Bancroft,,,1983-03-16
Yarn,Barnabe,,,1984-05-18
Ezzle,Jon,,,1994-06-11
Pitcaithly,Laurent,Boy,,
Vollam,Cody,,,1958-02-10
Coronado,Kristian,,,1950-05-29
Enstone,Nicolas,,Honorable,1943-10-28
Moreno,Ahmed,,,1966-12-19
Cannam,Chrotoem,Elliott,,
Geraudel,Alistair,,,
Dussy,Waite,,,1965-03-29
Kealy,Sherman,,,1957-12-11
Barneveld,Shelley,Jud,Ms,
Isack,Edan,Ber,,1984-08-24
Harfleet,Rufus,,,1965-02-04
Harman,Billie,,Ms,
Hilhouse,Panchito,,,1953-03-02
Mulligan,Graeme,,,
Shackelton,Gregory,,,1967-07-02
Cinelli,Merrel,Ripley,,1971-03-27
Else,Bran,Merrel,,1989-02-08
Fessler,Griffy,Burty,,1942-11-07
Azema,Obie,,,1945-11-24
Woolfenden,Chilton,,Mrs,
O'Lehane,Garfield,,,1932-08-08
Lampens,Lothario,,,1950-04-14
Gymlett,Claudianus,,,1976-07-06
Stanlack,Clemente,,,1948-05-15
MacNeil,Rudolph,,,1997-07-20
Rigglesford,Field,,,1982-07-27
Kissick,Pepillo,,Mrs,1973-11-08
Margetts,Alyosha,,,1959-06-15
Ondrusek,Henrik,Abey,Honorable,1974-01-19
Izod,Nicola,Trey,Honorable,1977-06-04
Macro,Harlin,Baird,,1962-03-24
Trammel,Emmott,Clifford,,1963-10-23
Vampouille,Robert,Vassily,,1960-12-02
Houlaghan,Miltie,Rolph,,
Gingell,Cal,Earlie,,1986-06-26
Pearcey,Noble,,,1933-06-18
Cockren,Gaston,,Rev,1930-04-30
Hendriksen,Mason,,,
Ryding,Winn,,,
McCleverty,Adriano,Kareem,,1959-12-13
Lattos,Patten,Abie,,1982-01-29
Visco,Stanley,,,
Keer,Madison,,,1982-10-22
Chown,Hurlee,,,
Ladbrook,Beauregard,,Dr,2002-06-13
Antonsson,Steve,,Ms,1970-08-10
Marqyes,Alair,,,1941-05-06
Birtwell,Nicol,Araldo,,1990-03-04
Beddis,Dwight,Randolph,,1949-01-09
Swindin,Skipper,Erwin,Mrs,1972-03-31
Baptista,Ingmar,,Mr,1983-08-02
Hindrich,Nester,Mahmoud,Rev,1951-06-07
Semor,Boigie,,,1985-04-13
Esgate,Roth,,Mrs,
Erwin,Jorgan,,Rev,1987-02-27
Messent,Garrot,Ulick,,
Spurnier,Carling,,,1973-08-20
Taffley,Chester,Osborne,,
Rodear,Errick,Bobby,,1980-01-18
Maclaine,Rollins,,,
Trownson,Gradeigh,,,1946-05-08
Loughran,Itch,,,
Purtell,Burk,Rouvin,,1942-10-23
Waith,Javier,Vinny,,
Yanne,Kirk,,,1991-06-27
Elce,Sloan,,Honorable,1966-01-25
Gellert,Hussein,,,1947-10-02
Chard,Archer,,,1999-01-02
Fraser,Drake,,,1933-03-10
Cotterrill,Halsey,,,1951-04-08
Ivic,Peyter,Sheridan,Ms,1945-05-19
Adey,Erhard,,,
Aronowicz,Scottie,,Rev,
Slite,Rafael,,,
Bartlam,Leigh,Marcel,,1977-10-18
Everwin,Rudolph,Hazel,,1958-03-21
Asson,Zacharias,Broderick,,1934-05-29
Hales,Augy,Rodrique,,1947-12-29
Ruckman,Gay,,Ms,
McMurty,Hewie,,,
Meharg,Michal,,Honorable,1992-01-14
Lowne,Christophe,Terence,,1977-12-07
Wilhelmy,Tate,,,1948-05-23
Goaks,Brook,Wallace,,1933-01-30
Ivanin,Benjie,,,1995-09-20
Le Floch,Guss,Bartel,,1971-02-19
Schall,Haroun,,Ms,1936-01-11
Joska,Bevon,Lindon,,1973-04-07
Dellenbrok,Ron,,Ms,1990-03-31
Darrigrand,Wallas,,,1992-03-06
Shepeard,Jude,,,
Llewellen,Towny,,,1960-02-05
Abry,Stearne,,,
Evennett,Wallie,,,1930-02-26
Dast,Crawford,Egor,,1954-04-30
Hawkridge,Tommie,Zed,,
Tarpey,Archie,Micheil,Rev,1935-11-01
Sirr,Jamill,Sidney,,1995-08-25
MacGettigen,Hobart,,,
Thundercliffe,Dimitri,,Honorable,
Trainer,Abner,Taber,,2003-08-30
Fitton,Frederick,Zak,,1994-05-16
Leathe,Griffith,,,1989-12-25
Edland,Reggie,,Rev,1941-03-10
Chimenti,Taite,Donall,,1947-08-20
Swindall,Ambrosi,Dexter,,2003-12-07
Eveleigh,Grady,Aubert,,
Benian,Rik,Chevy,,1993-06-22
Aitkin,Victor,,,
Patifield,Wiatt,,Mrs,
Brehat,Nil,,Honorable,1969-06-03
De Mattei,Gordan,Ronny,,1981-10-13
Ryle,Thorsten,,,
Tomaskov,Hughie,Gauthier,Honorable,1990-11-19
Angeau,Kalil,Guthrey,,
Runacres,Wallace,,,1991-07-27
Leeds,Mar,Norrie,,
Giovani,Hayes,,,
Kleyn,Eduard,,,1996-02-07
Pendlington,Man,,,
Kaman,Christoph,Bernhard,,1971-03-26
Marval,Beauregard,,,1997-01-31
Carnoghan,Donny,,Mr,1938-06-24
Espinosa,Eddy,,,1990-10-13
Vany,Hyatt,,,1982-04-23
Novic,Orion,,,
Kidde,Slade,,,1936-08-17
Gabbett,Hardy,Ulrich,,1950-08-19
Kirton,Ephraim,,Mrs,1951-09-30
Staker,Freeland,Maurice,,1988-02-08
Davey,Cointon,,,
Schenfisch,Carce,,Ms,
Causby,Farly,,,1942-06-07
Kitter,Hale,Northrop,,1945-09-29
Petroselli,Wilmer,,,
Charpling,Harv,,,1993-05-25
Pinkie,Damien,Percival,,
Voyce,Donal,,,
Fuentes,Matthiew,,,
Venus,Padget,,,1985-03-08
Vonasek,Sayers,,,
Hodgins,Clyde,Elias,Honorable,1947-02-08
Ellams,Raynard,,,
Slimming,Hebert,Valdemar,,1980-06-17
Bissiker,Richmound,Claybourne,,1994-05-25
Jobey,Lazaro,Wallas,,
Beardwell,Barrie,,,1972-11-02
Roark,Frederick,,,
Vacher,Delbert,,,1981-04-01
Doerr,Ancell,,,1982-02-20
Arkill,Westley,,,1951-07-03
Bidgood,Jereme,,Dr,
Aspell,Finlay,Hagan,,1964-02-25
Easson,Humfrey,,,1965-05-27
Kells,Niko,,,
Rubinow,Gardner,,,
Megarrell,Zelig,Jorge,,
Stellman,Filberte,,,1965-06-12
Fittis,Augy,,,1995-10-07
Wagner,Peadar,Jacky,,2000-02-18
Miner,Rickard,,,
McIlwraith,Tobias,Zeke,,1994-10-08
Buckley,Doug,,,
Kirkpatrick,Omero,,,
Eastope,Inger,,,1941-05-26
Brunetti,Parnell,,Dr,1964-03-23
Gow,Cointon,,,1984-10-20
Shale,Brad,,,1978-09-19
Tuffell,Granville,,,1980-02-13
Marlon,Olag,,,1957-08-11
Piegrome,Wat,,,
Olczak,Nev,,,1968-07-05
Blomefield,Byron,Artie,Honorable,1981-10-04
Cund,Ephrem,,,1946-05-10
Hawker,Mordecai,,,1933-10-21
Philpots,Edwin,Shamus,,1947-06-21
Sondland,Paton,Augustin,Ms,1997-06-25
Bettridge,Truman,,Dr,1955-03-03
Kitto,Lorens,Denis,,2003-10-22
Sheppard,Feodor,Eziechiele,,1991-06-17
Advani,Derk,,Rev,1998-04-29
Beardsworth,Ely,Jessie,,1961-11-19
Luxton,Fulton,,,
Chad,Donalt,,Dr,
Majury,Lombard,Cleavland,Rev,1945-01-07
Brunicke,Kaiser,,,1960-02-24
Heineking,Kirby,Seamus,,
Nicholes,Oswald,,Honorable,1947-05-12
Shadfourth,Keith,,,2000-08-30
Rumney,Rock,,,1961-01-04
Cherrie,Rock,Waldemar,,1986-01-03
Lomax,Maddy,,,1933-03-26
Placide,Gail,,,1996-12-11
Buesden,Hartley,,Mr,1934-09-01
Townby,Humfrey,,,
Harbidge,Isa,,,1963-07-07
Earl,Clayborne,,,1966-07-25
MacDearmid,Jerri,,,1952-11-26
Sammons,Zacharias,,,1949-05-18
Thewless,Adamo,Oren,,1986-11-24
Farlane,Giusto,,Ms,1982-06-26
Hawkyens,Yves,Rriocard,,
Secrett,Lewes,,,
Hollows,Jamey,Aleksandr,,1940-08-23
Barajaz,Madison,,,1946-04-16
Lang,Carly,,,1992-08-20
Harler,Mitchell,Kasper,,1960-11-26
Stokey,Crosby,,,1961-09-06
Chaudrelle,Fonsie,Olag,,1974-01-05
Marians,Shaughn,,,
McElwee,Johnny,,,1954-08-05
Graffham,Gordon,,,
Witson,Lonny,,,1993-10-16
Goss,Fabiano,Rudyard,,2003-12-13
Macquire,Bartram,,Ms,1972-05-14
Rowbrey,Bertram,Jeremias,,1995-06-18
Cleef,Tucker,,,1998-05-06
Ferrey,Elnar,,,1948-03-14
Scatchard,Allie,,,1946-06-13
Woodrooffe,Jarid,,,
Dawid,Aldrich,Antony,,1976-11-28
McGrah,Oswald,Shaw,Mrs,
Cabedo,Eben,,,1939-03-25
Carey,Philbert,,,1991-02-20
Hosburn,Otto,Des,,1957-08-18
Grigoli,Dene,Darren,Mr,1966-11-30
Poletto,Chicky,,,1932-10-12
Ditts,Noe,,,
Dommett,Francisco,,,1962-11-10
Blanket,Iggie,,,1970-01-17
Lightwing,Morey,,,1961-01-02
Krysztofiak,Ad,Timoteo,,
Sherewood,Skippy,,,1976-03-16
Tooth,Artemas,,,1977-03-21
Gatesman,Rube,,,1970-01-09
Wenham,Garret,,,1979-05-18
Dreakin,Kerk,,Dr,
Maddern,Anthony,Harland,,
Cubbino,Dov,,,1954-04-17
Benza,Parsifal,,,1931-12-28
Ames,Saunders,Walther,,1957-01-21
Baudassi,Farly,,,2000-05-04
Villalta,Lonny,,,1955-09-03
